,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
82,"RT @Cobradabest: Tweeting everyday until the #EUelections2019 Day #4: Vote out the #EPP, #SD and #ALDE in #EP2019 to make sure this doesn't…",Thu,May,23,16,1,0,0,0,7,250,346,ocelothe2k1 🇵🇱 #StopActa2,ocelothe2k1
83,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,16,1,0,0,0,34,22,453,Charlie Mackenzie,Charlie83026500
84,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,16,1,0,0,0,34,1219,1008,GLOBAL LINES,Globalines
85,RT @DalbidEU: At this time of national crisis: The #Tories are engaged in a leadership election (Party before People) #Labour are engaged i…,Thu,May,23,16,1,0,0,0,2,612,1355,Ian McConnell,iw_mc
86,"RT @Cobradabest: Tweeting everyday until the #EUelections2019 Day #4: Vote out the #EPP, #SD and #ALDE in #EP2019 to make sure this doesn't…",Thu,May,23,16,1,0,0,0,7,36371,26912,Anonymous 🍀,YourMarkLubbers
87,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several existing laws:

- The e-comme…",Thu,May,23,16,1,0,0,0,24,36371,26912,Anonymous 🍀,YourMarkLubbers
88,"RT @AnonsWorldwide: @TheProgressives No way. @katarinabarley says she wants an EU army https://t.co/Pcmo3lcrpv Besides, you &amp; your allies #…",Thu,May,23,16,0,1,0,0,7,36371,26912,Anonymous 🍀,YourMarkLubbers
89,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,16,1,0,0,0,34,349,865,angry monkey #FBPE 🇪🇺🍌🍌🐵,angr1M0nkey
90,"I have just exercised my democratic right, as an EU citizen, to vote for my choice of unelected faceless bureaucrats, all of whom were clearly listed on a ballot paper, following an election campaign. Just like in a democracy. #EUelections2019 #STOPBREXIT #Greens",Thu,May,23,16,1,0,0,0,0,342,897,Jules                ⚱️🇪🇺,juleshynam
91,RT @DalbidEU: At this time of national crisis: The #Tories are engaged in a leadership election (Party before People) #Labour are engaged i…,Thu,May,23,16,1,0,0,0,2,5033,3988,Eric D,DalbidEU
92,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,15,1,0,0,0,34,4945,3679,Chri5 💚,chri5m0rgan
93,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,15,1,0,0,0,34,40381,1141,European Greens,europeangreens
94,"RT @bill_ravotti: https://t.co/OnDCHEwroX
#Juncker #EPP reveal true beliefs 👉 “These populist, nationalists, stupid nationalists, they are…",Thu,May,23,15,1,1,0,0,11,6923,2022,Sędzia Polski 🇵🇱 PiS4You,SedziaPolski
95,"RT @bill_ravotti: https://t.co/XTJflnoptP
Dutch scandal grows over cover-up of serious crimes committed by migrants. #Rutte, another #ALDE…",Thu,May,23,15,1,1,0,0,17,6923,2022,Sędzia Polski 🇵🇱 PiS4You,SedziaPolski
96,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,15,1,0,0,0,34,1024,1611,Nick White,doggypicks
97,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,15,1,0,0,0,34,319,283,Sandra💕🌍🇪🇺🇳🇱🏳️‍🌈 🌊💚,sbuster1972
98,"The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As #Greens all over Europe, we take this fight to the European Parliament.

I challenge @marietouss1, @saoirse_mchugh and @mina_tolu to #VoteForClimate https://t.co/txn1eqPKCA",Thu,May,23,15,1,0,132,0,34,41479,947,Ska Keller,SkaKeller
